label,text
spam,Win a brand new car by clicking this link now
spam,Congratulations you have won a free lottery ticket
spam,Get cheap loans instantly apply now
spam,You are selected for a cash prize claim now
spam,Exclusive offer buy one get one free
spam,Act now limited time offer
spam,Claim your free reward by clicking here
spam,You won a gift card redeem today
spam,Lowest price guaranteed buy now
spam,Free entry in a weekly contest
spam,Urgent your account has been compromised
spam,Win money fast no investment needed
spam,Limited offer hurry up buy today
spam,Free mobile recharge claim instantly
spam,Dear user you have won a surprise prize
spam,Click the link to verify your account
spam,Special discount only for you
spam,Your loan has been approved instantly
spam,Free coupon available redeem now
spam,You are the lucky winner today
spam,This is your final chance to claim reward
spam,100 percent free membership signup now
spam,Your account will be blocked act now
spam,Instant cashback offer valid today
spam,Win big prizes participate now
spam,Low interest personal loan available
spam,Important update confirm your details
spam,Get rich fast work from home
spam,Exclusive deal just for you
spam,Free vouchers waiting for you

ham,Hey are we still meeting today
ham,Can you send me the report by evening
ham,Let's have lunch tomorrow
ham,Please call me when you are free
ham,Did you complete the assignment
ham,How was your exam today
ham,I will reach home by 7 pm
ham,Meeting has been postponed to tomorrow
ham,Happy birthday have a great day
ham,Can we talk later
ham,Please review the attached document
ham,Thanks for your help
ham,Are you coming to class today
ham,Let me know when you arrive
ham,The project deadline is next week
ham,Call me after the meeting
ham,Did you finish the homework
ham,I'll be late today
ham,Let's discuss this tomorrow
ham,See you at the office
ham,The presentation went well
ham,Please check your email
ham,Can you help me with this task
ham,Family dinner is at 8 pm
ham,Don't forget the meeting tomorrow
ham,I'll send the files soon
ham,Hope you are doing well
ham,We will talk in the evening
ham,Thanks for the update
ham,Let's catch up this weekend
spam,Limited time deal grab your free offer now
spam,You have been pre approved for instant credit
spam,Claim your cashback reward before expiry
spam,Special promotion just one click away
spam,Your mobile number won a lucky draw
spam,Free access granted activate immediately
spam,Lowest EMI loan available apply today
spam,Final reminder verify your account now
spam,Win exciting prizes register today
spam,Your subscription is selected for free upgrade
spam,Get bonus points redeem instantly
spam,Exclusive sale hurry limited stock
spam,Free trial available sign up now
spam,Important notice update payment details
spam,You are eligible for premium membership
spam,Instant approval no documents required
spam,Get flat discount on all purchases
spam,Claim your complimentary gift today
spam,Account alert immediate action required
spam,Congratulations you are chosen as winner

ham,Are you joining us for dinner tonight
ham,Please share the meeting notes
ham,I have sent the documents for review
ham,Let me know if you need any changes
ham,Can we reschedule the call
ham,I will be working from home today
ham,The class has been moved to Friday
ham,Did you get my last message
ham,Please remind me tomorrow morning
ham,The results will be announced today
ham,Let's finalize the plan this evening
ham,I reached safely let you know
ham,Can you confirm your availability
ham,The payment was completed successfully
ham,Thanks for the quick response
ham,We will discuss this in the meeting
ham,Please find the updated file attached
ham,I will call you after lunch
ham,The event starts at 10 am
ham,Looking forward to seeing you tomorrow
spam, get 10% off
